GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user service,com.Practice.user_service.server.model,OrderDTO,238,0,18,0,56,0,30,0,21,0
user service,com.Practice.user_service.server.model,UserOrderResponse,136,0,14,0,32,0,19,0,12,0
user service,com.Practice.user_service.server.model,Response,167,0,14,0,41,0,22,0,15,0
user service,com.Practice.user_service.server.model,UserDTO,137,24,14,0,28,11,15,7,8,7
user service,com.Practice.user_service,UserServiceApplication,5,7,0,0,2,2,1,2,1,2
user service,com.Practice.user_service.exception,UserAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
user service,com.Practice.user_service.exception,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
user service,com.Practice.user_service.exception,GlobalExceptionHandler,34,3,0,0,10,1,2,1,2,1
user service,com.Practice.user_service.client.auth,HttpBearerAuth,41,0,6,0,11,0,8,0,5,0
user service,com.Practice.user_service.client.auth,HttpBasicAuth,50,0,8,0,12,0,10,0,6,0
user service,com.Practice.user_service.client.auth,ApiKeyAuth,79,0,10,0,24,0,13,0,8,0
user service,com.Practice.user_service.client.api,OrderApi,118,12,2,0,24,5,7,2,6,2
user service,com.Practice.user_service.client.api,OrderApi.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
user service,com.Practice.user_service.client.api,OrderApi.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
user service,com.Practice.user_service.client.api,OrderApi.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
user service,com.Practice.user_service.client,RFC3339DateFormat,24,26,0,0,4,8,4,2,4,2
user service,com.Practice.user_service.client,StringUtil,101,0,18,0,22,0,13,0,4,0
user service,com.Practice.user_service.client,JavaTimeFormatter,23,6,0,0,7,2,4,1,4,1
user service,com.Practice.user_service.client,ServerConfiguration,78,0,10,0,18,0,8,0,3,0
user service,com.Practice.user_service.client,ApiClient.CollectionFormat,51,0,0,0,6,0,3,0,3,0
user service,com.Practice.user_service.client,ServerVariable,15,0,0,0,6,0,1,0,1,0
user service,com.Practice.user_service.client,ApiClient,924,132,125,1,209,32,105,8,42,8
user service,com.Practice.user_service.server.api,UsersApiController.new UsersApiDelegate() {...},0,6,0,0,0,1,0,1,0,1
user service,com.Practice.user_service.server.api,UsersApi,41,0,0,0,7,0,7,0,7,0
user service,com.Practice.user_service.server.api,ApiUtil,25,0,0,0,6,0,2,0,2,0
user service,com.Practice.user_service.server.api,UsersApi.new UsersApiDelegate() {...},6,0,0,0,1,0,1,0,1,0
user service,com.Practice.user_service.server.api,UsersApiController,3,13,0,0,1,3,1,1,1,1
user service,com.Practice.user_service.server.api,UsersApiDelegate,240,0,24,0,55,0,19,0,7,0
user service,com.Practice.user_service.service,UserService,75,157,0,0,19,37,5,12,5,12
user service,com.Practice.user_service.client.model,OrderDTO,223,0,18,0,50,0,29,0,20,0
user service,com.Practice.user_service.client.model,Response,155,0,14,0,36,0,21,0,14,0
user service,com.Practice.user_service.api,UsersApiImpl,174,10,0,0,45,4,15,2,15,2
